section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
187,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law.
188,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Unlawfully taking from a Mint any coining instrument.
189,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Being member of an unlawful assembly.
190,,,,no,According as offence is cognizable or non- cognizable.,According as offence is bailable or non-is bailable.,The Court by which the offence triable.,Every member of unlawful assembly guilty of offence committed in prosecution of common object.
191,Cognizable,Bailable,Any Magistrate,yes,C o gnizable.,Bailable.,Any Magistrate.,Rioting.
192,Cognizable,Bailable,Any Magistrate,yes,C ognizable. C o g n izable.,Bailable. Bailable.,Any Magistrate. Any Magistrate.,"Wantonly giving provocation with intent to cause riot, if rioting be committed. If not committed."
193,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Owner or occupier of land not giving information of riot, etc."
194,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Committing affray.
195,Cognizable,Bailable,Magistrate of the first class,yes,C o g nizable.,Bailable.,Magistrate of the first class.,"Assaulting or obstructing public servant when suppressing riot, etc."
196,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g n i z able.,Non-bailable.,Magistrate of the first class.,"Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and do"
197,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g nizable.,Non-bailable.,Magistrate of the first class.,"Imputations, assertions prejudicial to national integration."
198,Non-cognizable,Bailable,Magistrate of the first class,yes,Non- cognizable.,Bailable.,Magistrate of the first class.,Public servant disobeying direction of the law with intent to cause injury to any person.
199,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Public servant disobeying direction under law.
200,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Non-treatment of victim by hospital.
201,Cognizable,Bailable,Magistrate of the first class,yes,C o gnizable.,Bailable.,Magistrate of the first class.,Public servant framing an incorrect document with intent to cause injury.
202,Non-cognizable,Bailable,Magistrate of the first class,yes,Non- cognizable.,Bailable.,Magistrate of the first class.,Public servant unlawfully engaging in trade.
203,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Magistrate f the firstclass.,Public servant unlawfully buying or bidding for property.
204,Cognizable,Non-bailable,Any Magistrate,yes,Cognizable.,Non-bailable.,Any Magistrate.,Personating a public servant.
205,,Bailable,Any Magistrate,no,C o g n izable. Non- cognizable. Non- cognizable. Non- cognizable. Non- cognizab,Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable.,Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate. ,Wearing garb or carrying token used by public servant with fraudulent intent. Absconding to avoid service of summons or 
